Use Case Type,Packet Loss Budget,Latency Budget (ns),Jitter Budget (ns),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (ns),Slice Packet Loss,Slice Jitter (ns),Slice Type,Slice Handover,latency_margin,loss_margin,jitter_margin,stress_ratio,sla_met
3D/UHD Video,,0,0,1000,no,no,6441.4946686159365,2296360.6467872523,0.0008061150507198,1647613.757591266,feMBB,yes,-2296360.6467872523,,-1647613.757591266,6.4414946686159364,0
Smart Home,0.0,0,0,0,no,yes,5790.290053957226,2373531.65092688,0.0005548179148432,2336316.6472002026,umMTC,no,-2373531.65092688,-0.0005548179148432,-2336316.6472002026,inf,0
Motion control,,1000,1000000,0,no,no,5923.561685021456,2408095.546256202,0.0006376505051059,845784.730986774,ERLLC,yes,-2407095.546256202,,154215.26901322603,inf,0
Smart Home,0.0,0,0,0,no,yes,7948.476603899803,2173446.675813303,0.000674733902234,1878906.734091733,umMTC,no,-2173446.675813303,-0.000674733902234,-1878906.734091733,inf,0
Smart City,0.0,0,0,0,no,yes,5582.223819177041,2786684.929300663,0.0006258728504153,1843137.159198573,umMTC,no,-2786684.929300663,-0.0006258728504153,-1843137.159198573,inf,0
VR/AR,,0,0,1000,no,no,5529.653349788385,1944948.0060754549,0.0007274772601708,3176540.938869092,feMBB,yes,-1944948.0060754549,,-3176540.938869092,5.529653349788385,0
Smart Home,0.0,0,0,0,no,yes,6428.149550991288,2368120.7083475194,0.0004380695860014,2356694.1953256577,umMTC,no,-2368120.7083475194,-0.0004380695860014,-2356694.1953256577,inf,0
V2X,,1000000,0,0,yes,no,3045.425686972625,1927625.580576452,0.0006599219349553,2012531.3645909529,MBRLLC,yes,-927625.580576452,,-2012531.3645909529,inf,0
Smart Home,0.0,0,0,0,no,yes,4258.723784068858,1125884.7500919136,0.0008269871690445,2512049.5629798016,umMTC,no,-1125884.7500919136,-0.0008269871690445,-2512049.5629798016,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3769.812849054873,2496249.955382331,0.0003798464081107,2147100.051274747,mURLLC,yes,-1496249.9553823308,,-2147100.051274747,inf,0
VR/AR,,0,0,1000,no,no,6091.914255409632,166784.37635997147,0.0004433776361714,1378393.947064918,feMBB,yes,-166784.37635997147,,-1378393.947064918,6.091914255409631,0
Smart City,0.0,0,0,0,no,yes,3468.8159678720804,2366230.158984095,0.0004308599544997,2479347.9977831487,umMTC,no,-2366230.158984095,-0.0004308599544997,-2479347.9977831487,inf,0
Motion control,,1000,1000000,0,no,no,5939.485939998664,2724878.502829445,0.0008592589722351,2572453.6681359774,ERLLC,yes,-2723878.502829445,,-1572453.6681359774,inf,0
Motion control,,1000,1000000,0,no,no,4639.253326520558,2391994.84136965,0.0003227522475233,1786667.33621064,ERLLC,yes,-2390994.84136965,,-786667.3362106399,inf,0
Smart Home,0.0,0,0,0,no,yes,4406.966175229703,1473850.148931216,0.000518386328094,2133202.614810394,umMTC,no,-1473850.148931216,-0.000518386328094,-2133202.614810394,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6520.060035013574,3030895.251569613,0.0005820239746944,3301871.139445448,mURLLC,yes,-2030895.2515696129,,-3301871.139445448,inf,0
3D/UHD Video,,0,0,1000,no,no,2780.44705717169,3209736.679287363,0.0004084551811885,2138572.926547072,feMBB,yes,-3209736.679287363,,-2138572.926547072,2.78044705717169,0
3D/UHD Video,,0,0,1000,no,no,4186.108370060704,2443716.880383127,0.0003347562874878,1863368.595923544,feMBB,yes,-2443716.880383127,,-1863368.595923544,4.186108370060704,0
Remote health monitoring,,1000000,0,0,no,yes,9882.54545437601,3236535.034637374,0.0003633620429358,1329771.1470514582,mURLLC,yes,-2236535.034637374,,-1329771.1470514582,inf,0
V2X,,1000000,0,0,yes,no,8084.222453838516,3413283.1116841114,0.0004582597957899,1400535.487661653,MBRLLC,yes,-2413283.1116841114,,-1400535.487661653,inf,0
3D/UHD Video,,0,0,1000,no,no,1976.7774807433707,1572268.79533948,0.0004108827467295,2063866.39872674,feMBB,yes,-1572268.79533948,,-2063866.39872674,1.9767774807433707,0
3D/UHD Video,,0,0,1000,no,no,4154.65671342067,1392693.4152280155,0.0007405488255517,1581787.4085098477,feMBB,yes,-1392693.4152280155,,-1581787.4085098477,4.15465671342067,0
Smart City,0.0,0,0,0,no,yes,5105.181764702663,2495458.7638434456,0.0004123337489191,2398889.460911011,umMTC,no,-2495458.7638434456,-0.0004123337489191,-2398889.460911011,inf,0
Smart City,0.0,0,0,0,no,yes,2648.7236748463165,1.0,0.000410691457981,1719211.9789079998,umMTC,no,-1.0,-0.000410691457981,-1719211.9789079998,inf,0
VR/AR,,0,0,1000,no,no,8363.548706202582,1852315.2304606552,0.0005657459927419,3912551.171482146,feMBB,yes,-1852315.2304606552,,-3912551.171482146,8.363548706202582,0
V2X,,1000000,0,0,yes,no,5049.797107620124,1560624.4753511637,0.000548391588802,2154677.5559228994,MBRLLC,yes,-560624.4753511637,,-2154677.5559228994,inf,0
V2X,,1000000,0,0,yes,no,4690.6615767426365,1873920.365684569,0.0,946999.8881085812,MBRLLC,yes,-873920.3656845691,,-946999.8881085812,inf,0
VR/AR,,0,0,1000,no,no,5635.545221963969,1181841.3440701808,0.0003551339316075,2126218.5516931647,feMBB,yes,-1181841.3440701808,,-2126218.5516931647,5.6355452219639695,0
V2X,,1000000,0,0,yes,no,5608.98966548788,1898247.8082187783,0.0004157751212573,1753199.461522105,MBRLLC,yes,-898247.8082187783,,-1753199.461522105,inf,0
Servo motors,,100,1000,0,no,no,3576.7182139802408,2403948.936202253,0.000331442887474,2478209.7620769907,ERLLC,yes,-2403848.936202253,,-2477209.7620769907,inf,0
Delivery drones,,1000000,0,0,yes,no,7192.422027690465,3150496.1235945704,0.0006604023146192,2003474.562038648,MBRLLC,yes,-2150496.1235945704,,-2003474.562038648,inf,0
Smart City,0.0,0,0,0,no,yes,5270.532892637806,2312417.4588760165,0.0002506986492128,2276492.6504199672,umMTC,no,-2312417.4588760165,-0.0002506986492128,-2276492.6504199672,inf,0
VR/AR,,0,0,1000,no,no,7181.526140517075,816983.3351060085,0.000675168245116,3808575.200511242,feMBB,yes,-816983.3351060085,,-3808575.200511242,7.181526140517075,0
VR/AR,,0,0,1000,no,no,4041.1986593909382,2043583.8754145857,0.0001474204149548,1858481.854666471,feMBB,yes,-2043583.8754145857,,-1858481.854666471,4.041198659390938,0
V2X,,1000000,0,0,yes,no,2007.5831577763088,2946089.026325522,0.0005134939594211,2490807.106169011,MBRLLC,yes,-1946089.026325522,,-2490807.106169011,inf,0
3D/UHD Video,,0,0,1000,no,no,7395.745301284794,1861838.2942720011,0.0007606894906066,2738098.7438154463,feMBB,yes,-1861838.2942720011,,-2738098.7438154463,7.395745301284793,0
Motion control,,1000,1000000,0,no,no,6234.37071166993,2456953.3380338927,0.00040087481604,2208053.0966090504,ERLLC,yes,-2455953.3380338927,,-1208053.0966090504,inf,0
Smart Home,0.0,0,0,0,no,yes,6947.332189039659,2808554.0950439405,0.0005039026911792,925541.3108473164,umMTC,no,-2808554.0950439405,-0.0005039026911792,-925541.3108473164,inf,0
Smart Home,0.0,0,0,0,no,yes,7049.84856217249,2114938.243996692,0.0006712778818534,2518550.7230448425,umMTC,no,-2114938.243996692,-0.0006712778818534,-2518550.7230448425,inf,0
VR/AR,,0,0,1000,no,no,5032.638137646294,2239244.5832428155,0.0006665606679233,673030.7610409418,feMBB,yes,-2239244.5832428155,,-673030.7610409418,5.032638137646294,0
Servo motors,,100,1000,0,no,no,4389.008067906287,2393101.012448163,0.0005503924132601,3138545.1181074334,ERLLC,yes,-2393001.012448163,,-3137545.1181074334,inf,0
VR/AR,,0,0,1000,no,no,4847.718582473742,1722864.4371326028,0.0004696810602398,1130471.6051567444,feMBB,yes,-1722864.4371326028,,-1130471.6051567444,4.847718582473742,0
Smart City,0.0,0,0,0,no,yes,5919.452380127696,1863737.4581891585,0.0004679779337928,3308316.279474852,umMTC,no,-1863737.4581891585,-0.0004679779337928,-3308316.279474852,inf,0
V2X,,1000000,0,0,yes,no,5462.184584973427,1414691.2892861324,0.0002683185671726,2055858.8223060467,MBRLLC,yes,-414691.28928613244,,-2055858.8223060467,inf,0
V2X,,1000000,0,0,yes,no,1952.16996168218,1676534.7836951104,0.0003291945191935,2582777.5991747766,MBRLLC,yes,-676534.7836951104,,-2582777.5991747766,inf,0
Servo motors,,100,1000,0,no,no,4803.020527411167,2540825.3650240246,0.0005060063929895,2340791.674955387,ERLLC,yes,-2540725.3650240246,,-2339791.674955387,inf,0
Smart City,0.0,0,0,0,no,yes,7356.759239233093,2359392.6300517954,0.0005455806138049,2648027.518590022,umMTC,no,-2359392.6300517954,-0.0005455806138049,-2648027.518590022,inf,0
Motion control,,1000,1000000,0,no,no,4998.312759349432,1244449.2044632237,0.0009284634330486,685936.2231163082,ERLLC,yes,-1243449.2044632237,,314063.7768836918,inf,0
3D/UHD Video,,0,0,1000,no,no,8707.69689858341,1365678.8851019824,0.0006301231311653,1571333.201655058,feMBB,yes,-1365678.8851019824,,-1571333.201655058,8.70769689858341,0
Smart City,0.0,0,0,0,no,yes,3398.930758392213,1611497.1717894792,0.0004418495279089,2271396.865461762,umMTC,no,-1611497.1717894792,-0.0004418495279089,-2271396.865461762,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5581.32752737609,1060067.5811621046,0.0005850661502358,2034772.508327894,mURLLC,yes,-60067.581162104616,,-2034772.508327894,inf,0
Delivery drones,,1000000,0,0,yes,no,3358.4287026120423,2170779.963897563,0.0002060240343478,1732340.010127349,MBRLLC,yes,-1170779.963897563,,-1732340.010127349,inf,0
VR/AR,,0,0,1000,no,no,3574.6833384056945,1583204.7719902876,0.0005140768485496,2127951.808849904,feMBB,yes,-1583204.7719902876,,-2127951.808849904,3.5746833384056944,0
Remote health monitoring,,1000000,0,0,no,yes,3590.179281383684,2344027.119214634,0.0006141174829971,1852936.1194524076,mURLLC,yes,-1344027.119214634,,-1852936.1194524076,inf,0
Servo motors,,100,1000,0,no,no,8682.931677940958,2677254.222739872,0.0006155427636331,3472302.69893822,ERLLC,yes,-2677154.222739872,,-3471302.69893822,inf,0
Remote health monitoring,,1000000,0,0,no,yes,4580.301873360912,884654.4137626442,0.0004889592521632,2895203.619604647,mURLLC,yes,115345.58623735583,,-2895203.619604647,inf,0
V2X,,1000000,0,0,yes,no,3829.553159628713,1583536.5433569362,0.0005949710756321,2989609.719485562,MBRLLC,yes,-583536.5433569362,,-2989609.719485562,inf,0
3D/UHD Video,,0,0,1000,no,no,4995.986908395698,969701.8728363984,0.0004551998608604,3204890.2361662257,feMBB,yes,-969701.8728363984,,-3204890.2361662257,4.9959869083956985,0
Smart Home,0.0,0,0,0,no,yes,4629.846422634663,775021.3583578623,0.0005659519138946,2327337.217852993,umMTC,no,-775021.3583578623,-0.0005659519138946,-2327337.217852993,inf,0
VR/AR,,0,0,1000,no,no,6352.7836459126775,2363020.5505269747,0.0003430908610017,1377203.5915111452,feMBB,yes,-2363020.5505269747,,-1377203.5915111452,6.352783645912678,0
Smart Home,0.0,0,0,0,no,yes,1602.0564923794536,2140795.807822943,0.0003118544230012,1813806.667857556,umMTC,no,-2140795.807822943,-0.0003118544230012,-1813806.667857556,inf,0
V2X,,1000000,0,0,yes,no,3409.6355760753777,1622766.7417535472,0.0007106070901803,2234919.501649916,MBRLLC,yes,-622766.7417535472,,-2234919.501649916,inf,0
V2X,,1000000,0,0,yes,no,6411.201405707572,1366456.8629840766,0.0004691171949792,2101365.825054508,MBRLLC,yes,-366456.8629840766,,-2101365.825054508,inf,0
VR/AR,,0,0,1000,no,no,4186.200427048666,1279089.0725138653,0.0005736992250295,1116088.288140681,feMBB,yes,-1279089.0725138653,,-1116088.288140681,4.186200427048666,0
Smart Home,0.0,0,0,0,no,yes,3742.373786237617,2117678.0091066672,0.0003692073392091,2237973.860788439,umMTC,no,-2117678.0091066672,-0.0003692073392091,-2237973.860788439,inf,0
Smart City,0.0,0,0,0,no,yes,3667.7976130553857,1845361.072364204,0.0003122743741605,1253325.1859889245,umMTC,no,-1845361.072364204,-0.0003122743741605,-1253325.1859889245,inf,0
V2X,,1000000,0,0,yes,no,6206.45409820934,1402527.2968503288,0.0004092020177472,3294945.845962336,MBRLLC,yes,-402527.2968503288,,-3294945.845962336,inf,0
Smart Home,0.0,0,0,0,no,yes,6133.661944285114,2278332.247388777,0.0005708117378912,2519708.3401087443,umMTC,no,-2278332.247388777,-0.0005708117378912,-2519708.3401087443,inf,0
Motion control,,1000,1000000,0,no,no,6596.373888973545,2188381.675507133,0.0001561944688286,1873108.081754421,ERLLC,yes,-2187381.675507133,,-873108.0817544209,inf,0
Smart Home,0.0,0,0,0,no,yes,3062.8638256443323,1352919.8534275852,0.0005345481197212,2042574.7794602169,umMTC,no,-1352919.8534275852,-0.0005345481197212,-2042574.7794602169,inf,0
Motion control,,1000,1000000,0,no,no,2964.3340393925278,1683833.8058694715,0.0006135044709327,3150458.2267579287,ERLLC,yes,-1682833.8058694715,,-2150458.2267579287,inf,0
Motion control,,1000,1000000,0,no,no,6895.893388284652,2573749.9746346795,0.0003529735471225,1003383.5033891835,ERLLC,yes,-2572749.9746346795,,-3383.5033891835483,inf,0
V2X,,1000000,0,0,yes,no,5342.339105770392,2498923.427567187,0.0005402387169277,1680170.234560236,MBRLLC,yes,-1498923.4275671872,,-1680170.234560236,inf,0
VR/AR,,0,0,1000,no,no,3990.691537948269,1562544.855412742,0.0005272781922663,2355776.303940141,feMBB,yes,-1562544.855412742,,-2355776.303940141,3.990691537948269,0
Servo motors,,100,1000,0,no,no,4738.594535955492,3107667.749228852,0.0003555245804082,628841.6755112377,ERLLC,yes,-3107567.749228852,,-627841.6755112377,inf,0
V2X,,1000000,0,0,yes,no,2943.4848737902303,1883151.053950045,0.0004754509232144,1906572.5412842035,MBRLLC,yes,-883151.053950045,,-1906572.5412842035,inf,0
VR/AR,,0,0,1000,no,no,4117.914288019075,2525656.19003621,0.0004976500336309,1703840.6019157146,feMBB,yes,-2525656.19003621,,-1703840.6019157146,4.117914288019075,0
VR/AR,,0,0,1000,no,no,5265.83130770219,1299123.7729422343,0.0003548492673351,3645853.7638713424,feMBB,yes,-1299123.7729422343,,-3645853.7638713424,5.26583130770219,0
Remote health monitoring,,1000000,0,0,no,yes,5591.227453065574,1898513.9783792235,0.0004419868363174,1910136.6576643165,mURLLC,yes,-898513.9783792235,,-1910136.6576643165,inf,0
Delivery drones,,1000000,0,0,yes,no,4854.796356010785,1389559.8738232062,0.0004960958059973,1312392.0177338622,MBRLLC,yes,-389559.8738232062,,-1312392.0177338622,inf,0
V2X,,1000000,0,0,yes,no,4684.356552097967,897661.0529818116,0.0005478312367631,1409752.2649417496,MBRLLC,yes,102338.94701818842,,-1409752.2649417496,inf,0
VR/AR,,0,0,1000,no,no,6222.472669053668,1971709.787646506,0.0008149355874326,204863.0899307814,feMBB,yes,-1971709.787646506,,-204863.0899307814,6.222472669053668,0
Remote health monitoring,,1000000,0,0,no,yes,4831.556364262185,1781339.6299604038,0.0003386304267005,3123951.66421497,mURLLC,yes,-781339.6299604038,,-3123951.66421497,inf,0
Motion control,,1000,1000000,0,no,no,4255.382404602327,2714699.9755806136,0.0007255829628514,2072289.0957931676,ERLLC,yes,-2713699.9755806136,,-1072289.0957931676,inf,0
Servo motors,,100,1000,0,no,no,3730.13202150329,1614984.8756830243,0.0003504172492255,1883803.005188635,ERLLC,yes,-1614884.8756830243,,-1882803.005188635,inf,0
Servo motors,,100,1000,0,no,no,2054.8037516132263,2179185.864017383,0.0004995826693423,2627035.2831116677,ERLLC,yes,-2179085.864017383,,-2626035.2831116677,inf,0
Motion control,,1000,1000000,0,no,no,6083.589803647725,1729452.2332519155,0.0006531974248551,2365647.6890965006,ERLLC,yes,-1728452.2332519155,,-1365647.6890965006,inf,0
Smart Home,0.0,0,0,0,no,yes,7439.564250926738,1351259.2039679715,0.0005733982957878,2010702.181008319,umMTC,no,-1351259.2039679715,-0.0005733982957878,-2010702.181008319,inf,0
Smart Home,0.0,0,0,0,no,yes,3623.1202584699113,2537679.1366292685,0.000107557563278,1332101.35296323,umMTC,no,-2537679.1366292685,-0.000107557563278,-1332101.35296323,inf,0
V2X,,1000000,0,0,yes,no,2883.95559021114,1590579.900023866,0.0006809348257059,1638856.7044898665,MBRLLC,yes,-590579.900023866,,-1638856.7044898665,inf,0
Delivery drones,,1000000,0,0,yes,no,3962.729338312368,1710562.1271210937,0.0005538859606147,2083046.1125929167,MBRLLC,yes,-710562.1271210937,,-2083046.1125929167,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5484.675099897913,1208463.935175952,0.0004073016208637,2446060.9955051867,mURLLC,yes,-208463.93517595204,,-2446060.9955051867,inf,0
Servo motors,,100,1000,0,no,no,4158.417665697022,874285.5835081651,0.0004781937804572,1111880.009515603,ERLLC,yes,-874185.5835081651,,-1110880.009515603,inf,0
3D/UHD Video,,0,0,1000,no,no,4129.434294712072,2302125.901890775,0.0005712135199589,1942751.8854038576,feMBB,yes,-2302125.901890775,,-1942751.8854038576,4.129434294712072,0
3D/UHD Video,,0,0,1000,no,no,4862.30828710962,1933923.8344067167,0.0005976800009679,2862020.638397162,feMBB,yes,-1933923.8344067167,,-2862020.638397162,4.86230828710962,0
Smart City,0.0,0,0,0,no,yes,5168.497916526982,2612148.120997325,0.0005915951614787,1173572.3748918104,umMTC,no,-2612148.120997325,-0.0005915951614787,-1173572.3748918104,inf,0
VR/AR,,0,0,1000,no,no,5614.192228871706,2339296.6889762967,0.0003808183339339,2496137.173252639,feMBB,yes,-2339296.6889762967,,-2496137.173252639,5.614192228871706,0
Motion control,,1000,1000000,0,no,no,4508.627773758034,1170035.4623567727,0.0004979578366636,1133324.7528531034,ERLLC,yes,-1169035.4623567727,,-133324.75285310345,inf,0
VR/AR,,0,0,1000,no,no,4478.9584818222565,2002140.6302545236,0.0003594723519407,1645270.6222378728,feMBB,yes,-2002140.6302545236,,-1645270.6222378728,4.478958481822256,0
VR/AR,,0,0,1000,no,no,1797.510399680823,1976353.390712928,0.0006277136594068,679977.0662550584,feMBB,yes,-1976353.390712928,,-679977.0662550584,1.797510399680823,0
Remote health monitoring,,1000000,0,0,no,yes,6559.82008960193,2674026.002700618,0.000459317983451,2201057.949447121,mURLLC,yes,-1674026.002700618,,-2201057.949447121,inf,0
Smart City,0.0,0,0,0,no,yes,5421.073533956589,2822033.8802019646,0.0005727445714225,1486748.2249243385,umMTC,no,-2822033.8802019646,-0.0005727445714225,-1486748.2249243385,inf,0
Delivery drones,,1000000,0,0,yes,no,7518.687813172003,847316.6721638273,0.000414342723461,668753.7773664373,MBRLLC,yes,152683.32783617266,,-668753.7773664373,inf,0
Smart City,0.0,0,0,0,no,yes,5852.266046663649,2732416.707664969,0.0005142812189264,2092213.0903029155,umMTC,no,-2732416.707664969,-0.0005142812189264,-2092213.0903029155,inf,0
Servo motors,,100,1000,0,no,no,4877.85126600368,2642780.3604887524,0.0004680413966112,2706665.276336842,ERLLC,yes,-2642680.3604887524,,-2705665.276336842,inf,0
Remote health monitoring,,1000000,0,0,no,yes,2524.05679680893,1458831.5448009616,0.0002977045678292,2272842.5980007527,mURLLC,yes,-458831.5448009616,,-2272842.5980007527,inf,0
VR/AR,,0,0,1000,no,no,2277.833723235105,1969631.2237488087,0.0006818100991591,2239999.9702092004,feMBB,yes,-1969631.2237488087,,-2239999.9702092004,2.277833723235105,0
Delivery drones,,1000000,0,0,yes,no,6747.572317345937,597871.9287674483,0.0006114172419367,2522941.8093657857,MBRLLC,yes,402128.0712325517,,-2522941.8093657857,inf,0
VR/AR,,0,0,1000,no,no,5936.320514483134,1966482.075462607,0.0002884733561686,1520594.5444929325,feMBB,yes,-1966482.075462607,,-1520594.5444929325,5.936320514483134,0
V2X,,1000000,0,0,yes,no,7442.588992908499,1300123.974214574,0.0003634248424373,2073020.671145011,MBRLLC,yes,-300123.9742145741,,-2073020.671145011,inf,0
V2X,,1000000,0,0,yes,no,6552.42535775541,2347280.89272927,0.0004008942983328,3465874.423328465,MBRLLC,yes,-1347280.8927292698,,-3465874.423328465,inf,0
Smart Home,0.0,0,0,0,no,yes,4382.010648252502,2275529.5497182626,0.0007195063328737,2097973.3986057504,umMTC,no,-2275529.5497182626,-0.0007195063328737,-2097973.3986057504,inf,0
Smart City,0.0,0,0,0,no,yes,1167.4099648219872,1937290.7055253324,0.0006445221039571,1442903.4491313994,umMTC,no,-1937290.7055253324,-0.0006445221039571,-1442903.4491313994,inf,0
Delivery drones,,1000000,0,0,yes,no,6007.932942051048,2131070.1733672256,0.0005360952256354,2232825.004853421,MBRLLC,yes,-1131070.1733672256,,-2232825.004853421,inf,0
V2X,,1000000,0,0,yes,no,3307.169755427747,1473421.5279573908,0.0002364015265656,1746294.856802581,MBRLLC,yes,-473421.52795739076,,-1746294.856802581,inf,0
Smart Home,0.0,0,0,0,no,yes,4693.360655712649,1247705.4273318138,0.0005760862744445,1975004.8005692577,umMTC,no,-1247705.4273318138,-0.0005760862744445,-1975004.8005692577,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5687.2828889664925,3409559.648493012,0.0005281726453802,2496232.20568246,mURLLC,yes,-2409559.648493012,,-2496232.20568246,inf,0
Delivery drones,,1000000,0,0,yes,no,3949.52930977776,2683015.3601766587,0.0004425115209925,1640880.3534153234,MBRLLC,yes,-1683015.3601766587,,-1640880.3534153234,inf,0
Smart Home,0.0,0,0,0,no,yes,3625.359450768607,2087202.2962482895,0.0007202928023777,96056.4992586344,umMTC,no,-2087202.2962482895,-0.0007202928023777,-96056.4992586344,inf,0
Motion control,,1000,1000000,0,no,no,4488.589085658012,1857292.059188866,0.0004666787167567,1884531.288308476,ERLLC,yes,-1856292.059188866,,-884531.2883084761,inf,0
Delivery drones,,1000000,0,0,yes,no,1590.5397457315094,3601895.87062246,0.000696825234524,2328396.7631152207,MBRLLC,yes,-2601895.87062246,,-2328396.7631152207,inf,0
Smart Home,0.0,0,0,0,no,yes,3277.856495394921,3115727.51920128,0.0004387422923472,3165278.3579938933,umMTC,no,-3115727.51920128,-0.0004387422923472,-3165278.3579938933,inf,0
VR/AR,,0,0,1000,no,no,3253.7724532396232,1810164.235715284,0.0003574093287594,2713798.917145193,feMBB,yes,-1810164.235715284,,-2713798.917145193,3.2537724532396233,0
Motion control,,1000,1000000,0,no,no,4607.459329516628,1352920.949093372,0.0002923443958489,1777955.6582069765,ERLLC,yes,-1351920.949093372,,-777955.6582069765,inf,0
V2X,,1000000,0,0,yes,no,3422.061815795097,2034961.4964158249,0.0004866917948325,2319857.720611542,MBRLLC,yes,-1034961.4964158249,,-2319857.720611542,inf,0
3D/UHD Video,,0,0,1000,no,no,4140.884139058933,1747975.1405377688,0.0005074073381824,1836121.9134876868,feMBB,yes,-1747975.1405377688,,-1836121.9134876868,4.140884139058933,0
Smart Home,0.0,0,0,0,no,yes,4258.966466059655,1368582.9674349483,0.0003408710329954,2590102.218114476,umMTC,no,-1368582.9674349483,-0.0003408710329954,-2590102.218114476,inf,0
Remote health monitoring,,1000000,0,0,no,yes,8546.28815259635,2914656.8719405923,0.0003485365483924,1894278.961524992,mURLLC,yes,-1914656.8719405923,,-1894278.961524992,inf,0
Smart Home,0.0,0,0,0,no,yes,6282.9904855426585,2349575.61510408,0.0006959371344299,2502818.297711289,umMTC,no,-2349575.61510408,-0.0006959371344299,-2502818.297711289,inf,0
3D/UHD Video,,0,0,1000,no,no,4799.882512993939,1728479.134509873,0.0006236908087465,3112230.9394974103,feMBB,yes,-1728479.134509873,,-3112230.9394974103,4.799882512993939,0
Motion control,,1000,1000000,0,no,no,5748.88877325659,1719274.8615329252,0.0008051233430307,3698126.41398375,ERLLC,yes,-1718274.8615329252,,-2698126.41398375,inf,0
Motion control,,1000,1000000,0,no,no,6534.873277531439,2008562.667993572,0.0002304877134883,1006019.6268001252,ERLLC,yes,-2007562.667993572,,-6019.626800125232,inf,0
Delivery drones,,1000000,0,0,yes,no,5480.067787699966,1675984.567762801,0.0007846925163599,803829.8275089592,MBRLLC,yes,-675984.567762801,,-803829.8275089592,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3277.523646494968,1618347.9179744846,0.0003687885127387,1375553.2667882007,mURLLC,yes,-618347.9179744846,,-1375553.2667882007,inf,0
Remote health monitoring,,1000000,0,0,no,yes,4772.173577230255,3369185.183828028,0.0002807824976301,1962134.597175234,mURLLC,yes,-2369185.183828028,,-1962134.597175234,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3374.175410976876,1392036.9260875313,0.0005417106586338,1648196.331558949,mURLLC,yes,-392036.92608753126,,-1648196.331558949,inf,0
3D/UHD Video,,0,0,1000,no,no,4452.089557608802,525658.5290804121,0.0001900356362034,2832483.026882818,feMBB,yes,-525658.5290804121,,-2832483.026882818,4.452089557608803,0
Remote health monitoring,,1000000,0,0,no,yes,4735.750325268595,2436214.3860807503,0.0006805476781516,1471941.0312716342,mURLLC,yes,-1436214.3860807503,,-1471941.0312716342,inf,0
Servo motors,,100,1000,0,no,no,6754.6239652364775,2744283.4307921,0.000528674202888,1257710.8698284957,ERLLC,yes,-2744183.4307921,,-1256710.8698284957,inf,0
3D/UHD Video,,0,0,1000,no,no,3677.098735173483,2102766.402832326,0.000382742636801,2891462.170112298,feMBB,yes,-2102766.402832326,,-2891462.170112298,3.677098735173483,0
Motion control,,1000,1000000,0,no,no,3543.592090069009,925916.9247614318,0.0006670264368622,2362507.9376741424,ERLLC,yes,-924916.9247614318,,-1362507.9376741424,inf,0
3D/UHD Video,,0,0,1000,no,no,3805.729825212803,1909395.847107076,0.0004774163032055,2198258.553611084,feMBB,yes,-1909395.847107076,,-2198258.553611084,3.805729825212803,0
VR/AR,,0,0,1000,no,no,3985.591374658,1660859.9684884823,0.0005059049012814,1257716.4412033777,feMBB,yes,-1660859.9684884823,,-1257716.4412033777,3.985591374658,0
VR/AR,,0,0,1000,no,no,4470.271956338447,2891419.251436716,0.000604557839689,2714768.0919822603,feMBB,yes,-2891419.251436716,,-2714768.0919822603,4.470271956338447,0
Remote health monitoring,,1000000,0,0,no,yes,5549.317333917436,1436594.4609303754,0.0003948841230126,1846792.0648492756,mURLLC,yes,-436594.4609303754,,-1846792.0648492756,inf,0
Motion control,,1000,1000000,0,no,no,3692.1174086058895,2153647.356495597,0.0003241266141467,2090270.9528196105,ERLLC,yes,-2152647.356495597,,-1090270.9528196105,inf,0
3D/UHD Video,,0,0,1000,no,no,5191.967867963597,2398664.902140648,0.0004782589057677,2227164.666659537,feMBB,yes,-2398664.902140648,,-2227164.666659537,5.191967867963597,0
3D/UHD Video,,0,0,1000,no,no,5212.565149479083,1428271.8249802475,0.0002747325536923,2924160.399911384,feMBB,yes,-1428271.8249802475,,-2924160.399911384,5.212565149479083,0
3D/UHD Video,,0,0,1000,no,no,5923.200756927212,1603356.5622836426,0.0004282668041362,2296032.932646839,feMBB,yes,-1603356.5622836426,,-2296032.932646839,5.923200756927212,0
Servo motors,,100,1000,0,no,no,4649.244045283216,2288856.1579911085,0.0003331072259081,1543314.9888666118,ERLLC,yes,-2288756.1579911085,,-1542314.9888666118,inf,0
VR/AR,,0,0,1000,no,no,6387.1690274801695,1.0,0.0004480193935181,1995692.8100153932,feMBB,yes,-1.0,,-1995692.8100153932,6.387169027480169,0
3D/UHD Video,,0,0,1000,no,no,5615.490505026274,2907973.5465730364,0.0003505165661362,2452696.254789024,feMBB,yes,-2907973.5465730364,,-2452696.254789024,5.6154905050262744,0
Servo motors,,100,1000,0,no,no,5540.745850648843,1325744.342083882,0.0004431600766701,3132496.7503060773,ERLLC,yes,-1325644.342083882,,-3131496.7503060773,inf,0
